,accuracy,time_fit,time_test,dataset_name,hyperparameter,rpoint,nb_per_class,classifier_name,series_length,exp_length
0,0.4,0.02390456199645996,0.009973764419555664,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,RSAST ACF&PACF,16,4
1,0.4,0.012972831726074219,0.003017902374267578,HouseTwenty,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,16,4
2,0.325,0.0971527099609375,0.04831528663635254,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,16,4
3,0.275,0.14647126197814941,0.057846784591674805,HouseTwenty,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,RSAST ACF&PACF,16,4
4,0.525,0.3168649673461914,0.24237489700317383,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,16,4
5,0.475,0.03189587593078613,0.028922319412231445,HouseTwenty,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,16,4
6,0.675,0.026933670043945312,0.009425878524780273,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,16,4
7,0.525,0.05289149284362793,0.03789258003234863,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,RSAST ACF&PACF,32,5
8,0.375,0.07381033897399902,0.05285763740539551,HouseTwenty,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,32,5
9,0.675,0.23733830451965332,0.20348763465881348,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,32,5
10,0.625,1.48215651512146,1.301537036895752,HouseTwenty,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,RSAST ACF&PACF,32,5
11,0.6,0.47870635986328125,0.33011746406555176,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,32,5
12,0.6,0.8677136898040771,0.8802504539489746,HouseTwenty,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,32,5
13,0.625,0.04288935661315918,0.015969038009643555,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,32,5
14,0.425,0.17851018905639648,0.14860320091247559,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,RSAST ACF&PACF,64,6
15,0.5,0.9844009876251221,0.9474430084228516,HouseTwenty,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,64,6
16,0.45,2.889991044998169,2.7287161350250244,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,64,6
17,0.6,9.397579908370972,9.242294788360596,HouseTwenty,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,RSAST ACF&PACF,64,6
18,0.45,0.6801795959472656,0.5455424785614014,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,64,6
