Adiac,0.52173913,0.583120205,0.531969309,0.501278772,0.217391304,0.278772379,0.202046036,0.547314578,0.593350384,0.414322251,0.549872123,0.52173913,0.503836317,0.534526854,0.289002558,0.496163683,0.511508951,0.299232737,0.52685422,0.593350384,0.557544757,0.508951407,0.194373402,0.539641944,0.26342711,0.283887468,0.601023018,0.115089514,0.470588235,0.524296675,0.485933504,0.552429668,0.52685422,0.240409207,0.506393862,0.329923274,0.52685422,0.485933504,0.501278772,0.52173913,0.560102302,0.519181586,0.217391304,0.460358056,0.488491049,0.207161125,0.232736573,0.52173913,0.189258312,0.542199488,0.547314578,0.560102302,0.237851662,0.601023018,0.514066496,0.58056266,0.222506394,0.519181586,0.503836317,0.493606138,0.158567775,0.514066496,0.232736573,0.611253197,0.52685422,0.539641944,0.20971867,0.562659847,0.237851662,0.42455243,0.291560102,0.235294118,0.542199488,0.547314578,0.514066496,0.57544757,0.319693095,0.455242967,0.225063939,0.542199488,0.276214834,0.514066496,0.286445013,0.47314578,0.289002558,0.196930946,0.21483376,0.544757033,0.260869565,0.560102302,0.57544757,0.511508951,0.245524297,0.493606138,0.468030691,0.554987212,0.306905371,0.519181586,0.260869565,0.457800512
ArrowHead,0.845714286,0.788571429,0.897142857,0.851428571,0.868571429,0.84,0.874285714,0.817142857,0.805714286,0.862857143,0.794285714,0.84,0.76,0.902857143,0.897142857,0.874285714,0.782857143,0.8,0.817142857,0.862857143,0.862857143,0.834285714,0.794285714,0.845714286,0.868571429,0.862857143,0.88,0.811428571,0.88,0.822857143,0.817142857,0.868571429,0.851428571,0.794285714,0.822857143,0.754285714,0.788571429,0.84,0.817142857,0.851428571,0.902857143,0.902857143,0.811428571,0.914285714,0.88,0.885714286,0.731428571,0.84,0.805714286,0.868571429,0.851428571,0.857142857,0.817142857,0.817142857,0.862857143,0.885714286,0.88,0.84,0.851428571,0.874285714,0.88,0.828571429,0.811428571,0.914285714,0.88,0.8,0.845714286,0.851428571,0.76,0.788571429,0.88,0.857142857,0.834285714,0.782857143,0.857142857,0.862857143,0.845714286,0.794285714,0.828571429,0.857142857,0.868571429,0.862857143,0.862857143,0.868571429,0.84,0.828571429,0.862857143,0.851428571,0.874285714,0.862857143,0.834285714,0.771428571,0.845714286,0.885714286,0.817142857,0.805714286,0.84,0.84,0.788571429,0.828571429
Beef,0.866666667,0.766666667,0.8,0.633333333,0.8,0.666666667,0.666666667,0.733333333,0.833333333,0.733333333,0.733333333,0.733333333,0.7,0.566666667,0.833333333,0.633333333,0.733333333,0.6,0.633333333,0.666666667,0.7,0.833333333,0.633333333,0.666666667,0.666666667,0.466666667,0.733333333,0.7,0.633333333,0.733333333,0.7,0.6,0.733333333,0.7,0.633333333,0.7,0.666666667,0.6,0.7,0.8,0.733333333,0.7,0.8,0.733333333,0.833333333,0.666666667,0.566666667,0.8,0.833333333,0.733333333,0.633333333,0.733333333,0.533333333,0.766666667,0.733333333,0.866666667,0.566666667,0.766666667,0.6,0.6,0.833333333,0.766666667,0.6,0.666666667,0.8,0.766666667,0.6,0.733333333,0.6,0.733333333,0.766666667,0.733333333,0.866666667,0.666666667,0.6,0.7,0.566666667,0.733333333,0.766666667,0.7,0.833333333,0.533333333,0.7,0.733333333,0.466666667,0.666666667,0.6,0.7,0.633333333,0.7,0.666666667,0.733333333,0.7,0.5,0.666666667,0.7,0.766666667,0.666666667,0.733333333,0.733333333
BeetleFly,0.8,0.9,0.8,0.9,0.9,0.85,0.8,0.9,0.85,0.85,0.85,0.95,0.9,0.85,0.8,0.9,0.65,0.65,0.95,0.8,0.85,0.8,0.85,0.85,0.9,0.85,0.9,0.85,0.8,0.8,0.95,0.85,0.85,0.95,0.85,0.85,0.9,0.9,0.9,0.8,0.9,0.7,0.8,0.85,0.85,0.85,0.85,0.8,0.85,0.85,0.9,0.85,0.8,0.9,0.9,0.85,0.8,0.85,0.9,0.9,0.8,0.95,0.95,0.85,0.85,0.95,0.9,0.75,0.9,0.8,0.85,0.85,0.85,0.95,0.95,0.9,0.85,1,0.9,0.9,0.9,0.85,0.9,0.85,0.9,0.9,0.8,0.85,0.85,0.95,0.9,0.95,0.9,0.65,0.9,0.85,0.85,0.85,0.85,0.95
BirdChicken,0.8,0.85,0.8,0.85,0.9,0.95,0.85,0.8,0.75,0.8,0.9,0.85,0.95,0.85,0.75,0.85,0.85,0.9,0.95,0.95,0.85,0.9,0.95,0.8,0.8,0.9,0.75,0.85,0.75,0.8,0.85,0.85,0.9,0.8,0.95,0.95,0.8,0.85,0.75,0.95,0.8,1,0.9,0.8,0.85,1,0.8,0.95,0.85,0.95,0.9,0.95,0.9,0.95,0.85,1,0.95,0.7,0.85,0.9,0.9,0.8,0.95,0.85,0.85,0.95,0.75,1,0.9,0.85,0.8,0.6,0.9,0.85,0.95,0.75,0.75,0.9,0.75,1,0.95,0.8,0.85,0.75,0.85,1,0.75,0.85,0.95,0.7,1,0.85,0.8,0.9,1,0.7,0.9,0.95,0.95,0.8
Car,0.766666667,0.9,0.916666667,0.833333333,0.816666667,0.883333333,0.816666667,0.816666667,0.866666667,0.9,0.883333333,0.966666667,0.8,0.816666667,0.916666667,0.783333333,0.933333333,0.833333333,0.85,0.85,0.766666667,0.8,0.933333333,0.833333333,0.916666667,0.85,0.933333333,0.9,0.816666667,0.766666667,0.9,0.75,0.866666667,0.85,0.833333333,0.916666667,0.9,0.883333333,0.816666667,0.916666667,0.8,0.733333333,0.833333333,0.766666667,0.783333333,0.833333333,0.883333333,0.916666667,0.816666667,0.883333333,0.816666667,0.85,0.883333333,0.9,0.9,0.9,0.916666667,0.866666667,0.85,0.9,0.866666667,0.916666667,0.95,0.9,0.883333333,0.816666667,0.866666667,0.783333333,0.833333333,0.85,0.816666667,0.816666667,0.85,0.8,0.85,0.9,0.866666667,0.85,0.783333333,0.816666667,0.75,0.866666667,0.866666667,0.783333333,0.833333333,0.95,0.85,0.916666667,0.883333333,0.833333333,0.9,0.85,0.866666667,0.85,0.916666667,0.8,0.883333333,0.883333333,0.9,0.9
CBF,0.991111111,0.95,0.932222222,0.961111111,0.995555556,0.928888889,0.991111111,0.991111111,0.966666667,0.995555556,0.978888889,0.961111111,0.997777778,0.993333333,0.968888889,0.995555556,0.996666667,0.997777778,0.998888889,0.96,0.934444444,0.986666667,0.998888889,0.99,0.965555556,0.963333333,0.998888889,0.965555556,1,0.984444444,0.998888889,0.931111111,0.996666667,0.971111111,0.961111111,0.928888889,0.98,0.988888889,1,0.97,0.92,0.928888889,0.993333333,1,1,0.924444444,0.993333333,0.973333333,0.938888889,0.984444444,0.966666667,0.967777778,0.998888889,0.994444444,0.956666667,0.962222222,0.996666667,0.996666667,0.983333333,0.986666667,0.993333333,0.99,0.993333333,0.998888889,0.937777778,0.992222222,0.982222222,0.943333333,0.984444444,0.992222222,0.952222222,0.963333333,0.995555556,0.992222222,0.898888889,0.985555556,1,0.991111111,0.995555556,0.993333333,0.997777778,0.99,0.996666667,0.987777778,0.99,0.983333333,0.965555556,0.92,0.985555556,0.963333333,0.943333333,0.987777778,0.994444444,0.993333333,0.984444444,0.998888889,0.955555556,1,0.99,0.975555556
ChlorineConcentration,0.592447917,0.628645833,0.536458333,0.604427083,0.60546875,0.56875,0.568229167,0.5953125,0.59765625,0.5828125,0.615104167,0.57421875,0.611197917,0.608333333,0.597395833,0.610677083,0.56640625,0.59765625,0.572135417,0.62109375,0.56640625,0.582291667,0.571875,0.621875,0.5921875,0.576302083,0.564583333,0.553385417,0.580208333,0.609635417,0.595833333,0.61484375,0.603385417,0.578645833,0.569270833,0.525520833,0.62109375,0.561979167,0.578125,0.607552083,0.6015625,0.590885417,0.561197917,0.532291667,0.59453125,0.59765625,0.609114583,0.561197917,0.561979167,0.61328125,0.579166667,0.588541667,0.56796875,0.601822917,0.56796875,0.587239583,0.590625,0.602604167,0.572135417,0.588020833,0.630989583,0.5875,0.606770833,0.601041667,0.619791667,0.596614583,0.5703125,0.577864583,0.561197917,0.586197917,0.57265625,0.620572917,0.586979167,0.580729167,0.578125,0.565885417,0.605208333,0.593489583,0.548958333,0.544791667,0.564583333,0.65,0.56640625,0.597135417,0.593489583,0.621614583,0.607291667,0.534895833,0.569791667,0.564583333,0.58046875,0.57890625,0.594010417,0.572135417,0.558333333,0.584635417,0.605729167,0.573697917,0.566927083,0.59921875
CinCECGTorso,0.869565217,0.80942029,0.84057971,0.880434783,0.883333333,0.854347826,0.828985507,0.881884058,0.876811594,0.829710145,0.805797101,0.869565217,0.867391304,0.957246377,0.865217391,0.889855072,0.82173913,0.942028986,0.844202899,0.83115942,0.856521739,0.887681159,0.845652174,0.869565217,0.797101449,0.775362319,0.897826087,0.853623188,0.821014493,0.845652174,0.912318841,0.893478261,0.823188406,0.849275362,0.784057971,0.842753623,0.916666667,0.79057971,0.945652174,0.874637681,0.837681159,0.705072464,0.813043478,0.906521739,0.911594203,0.873913043,0.842028986,0.814492754,0.920289855,0.839855072,0.894927536,0.80942029,0.84057971,0.880434783,0.870289855,0.883333333,0.822463768,0.881884058,0.879710145,0.823188406,0.89057971,0.844927536,0.830434783,0.811594203,0.911594203,0.775362319,0.849275362,0.892028986,0.897101449,0.92826087,0.884782609,0.88115942,0.82173913,0.873188406,0.919565217,0.87173913,0.723188406,0.850724638,0.878985507,0.832608696,0.851449275,0.842753623,0.863768116,0.830434783,0.836956522,0.913043478,0.797826087,0.828985507,0.839130435,0.820289855,0.901449275,0.847101449,0.870289855,0.819565217,0.776086957,0.886956522,0.907246377,0.878985507,0.842753623,0.763768116
Coffee,1,1,1,1,1,1,1,1,1,0.964285714,1,1,1,1,0.964285714,1,1,1,1,0.964285714,0.928571429,1,1,1,1,0.928571429,1,1,0.928571429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.964285714,0.928571429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.964285714,1,1,1,1,1,0.964285714,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.964285714,1,1,1,1,1,1,1,1
