folds:,STC-1,conf STC-1,STC-0.25,conf STC-0.25,STC-0.5,conf STC-0.5,STC-0.75,conf STC-0.75,STC,conf STC,0,conf SAST
Strawberry,0.75,0.05,0.81,0.02,0.82,0.03,0.83,0.02,0.91,0.03,0.97,0.01
SwedishLeaf,0.58,0.05,0.61,0.02,0.59,0.07,0.6,0.09,0.83,0.02,0.88,0.02
Symbols,0.91,0.05,0.63,0.07,0.93,0.02,0.93,0.01,0.95,0.01,0.95,0.0
SyntheticControl,0.87,0.02,0.97,0.01,0.97,0.01,0.97,0.01,0.98,0.0,0.98,0.0
ToeSegmentation1,0.88,0.04,0.91,0.02,0.94,0.01,0.95,0.0,0.95,0.0,0.88,0.04
ToeSegmentation2,0.84,0.08,0.9,0.04,0.87,0.02,0.89,0.02,0.88,0.03,0.88,0.03
Trace,0.94,0.07,0.99,0.01,1.0,0.0,1.0,0.0,0.99,0.0,1.0,0.0
TwoLeadECG,0.93,0.04,0.95,0.02,0.98,0.03,0.99,0.01,0.98,0.01,0.96,0.03
TwoPatterns,0.56,0.07,0.61,0.05,0.64,0.07,0.64,0.03,0.81,0.03,0.99,0.0
UMD,0.83,0.07,0.93,0.03,0.97,0.03,0.96,0.03,0.98,0.01,0.98,0.01
Wafer,0.99,0.01,1.0,0.0,1.0,0.01,1.0,0.0,1.0,0.0,1.0,0.0
Wine,0.54,0.06,0.71,0.1,0.72,0.07,0.8,0.04,0.8,0.06,0.85,0.06
WordSynonyms,0.4,0.01,0.45,0.02,0.47,0.02,0.44,0.01,0.56,0.01,0.7,0.01
