,dataset_name,ACF&PACF: n_random_points=10 nb_inst_per_class=1,ACF&PACF: n_random_points=10 nb_inst_per_class=10,ACF&PACF: n_random_points=30 nb_inst_per_class=1,ACF&PACF: n_random_points=30 nb_inst_per_class=10,Max PACF: n_random_points=10 nb_inst_per_class=1,Max PACF: n_random_points=10 nb_inst_per_class=10,Max PACF: n_random_points=30 nb_inst_per_class=1,Max PACF: n_random_points=30 nb_inst_per_class=10,None: n_random_points=10 nb_inst_per_class=1,None: n_random_points=10 nb_inst_per_class=10,None: n_random_points=30 nb_inst_per_class=1,None: n_random_points=30 nb_inst_per_class=10
0,ACSF1,0.4,0.35,0.37,0.32,0.43,0.37,0.38,0.36,0.43,0.33,0.42,0.31
1,Adiac,0.63,0.58,0.61,0.57,0.7,0.5,0.45,0.5,0.71,0.62,0.59,0.64
2,AllGestureWiimoteX,0.47,0.44,0.43,0.53,0.5,0.44,0.47,0.62,0.45,0.47,0.39,0.52
3,AllGestureWiimoteY,0.51,0.49,0.49,0.58,0.52,0.5,0.52,0.63,0.49,0.5,0.5,0.57
4,AllGestureWiimoteZ,0.46,0.38,0.38,0.46,0.44,0.38,0.45,0.55,0.44,0.39,0.43,0.46
5,ArrowHead,0.75,0.79,0.75,0.8,0.76,0.69,0.67,0.71,0.7,0.72,0.63,0.71
6,BME,0.83,0.83,0.83,0.83,0.77,0.8,0.74,0.81,0.76,0.87,0.77,0.86
7,Beef,0.67,0.68,0.66,0.69,0.51,0.64,0.51,0.65,0.56,0.7,0.58,0.73
8,BeetleFly,0.78,0.77,0.8,0.78,0.64,0.79,0.62,0.79,0.54,0.77,0.68,0.73
9,BirdChicken,0.76,0.85,0.77,0.85,0.68,0.77,0.66,0.82,0.65,0.73,0.69,0.74
10,CBF,0.97,0.99,0.99,0.99,0.91,0.99,0.95,0.99,0.86,0.93,0.86,0.96
11,Car,0.78,0.84,0.81,0.84,0.7,0.71,0.72,0.72,0.72,0.79,0.78,0.82
12,Chinatown,0.96,0.98,0.96,0.98,0.94,0.98,0.95,0.99,0.92,0.96,0.75,0.97
13,ChlorineConcentration,0.68,0.77,0.7,0.8,0.56,0.62,0.55,0.68,0.56,0.63,0.56,0.71
14,CinCECGTorso,0.62,0.89,0.7,0.89,0.59,0.84,0.68,0.84,0.6,0.87,0.67,0.89
15,Coffee,0.98,1.0,1.0,1.0,0.93,0.94,0.93,0.94,0.91,0.99,0.94,1.0
16,Computers,0.56,0.64,0.56,0.59,0.59,0.64,0.57,0.56,0.58,0.61,0.59,0.59
17,CricketX,0.73,0.8,0.75,0.8,0.68,0.73,0.7,0.78,0.62,0.71,0.67,0.75
18,CricketY,0.69,0.76,0.71,0.77,0.64,0.7,0.67,0.73,0.59,0.69,0.65,0.72
19,CricketZ,0.7,0.78,0.74,0.79,0.67,0.73,0.68,0.75,0.65,0.7,0.64,0.74
20,Crop,0.7,0.63,0.71,0.71,0.67,0.72,0.69,0.73,0.68,0.74,0.7,0.74
21,DiatomSizeReduction,0.94,0.95,0.95,0.95,0.97,0.98,0.98,0.97,0.94,0.97,0.95,0.97
22,DistalPhalanxOutlineAgeGroup,0.75,0.72,0.75,0.72,0.74,0.75,0.75,0.74,0.72,0.74,0.72,0.76
23,DistalPhalanxOutlineCorrect,0.74,0.73,0.72,0.74,0.73,0.72,0.73,0.71,0.73,0.77,0.71,0.76
24,DistalPhalanxTW,0.65,0.62,0.64,0.61,0.67,0.64,0.67,0.61,0.67,0.65,0.67,0.64
25,DodgerLoopDay,0.5,0.57,0.54,0.57,0.53,0.54,0.39,0.54,0.52,0.56,0.41,0.56
26,DodgerLoopGame,0.85,0.82,0.84,0.82,0.67,0.8,0.74,0.79,0.62,0.83,0.7,0.85
27,DodgerLoopWeekend,0.97,0.95,0.97,0.96,0.86,0.96,0.95,0.96,0.9,0.98,0.94,0.97
28,ECG200,0.82,0.88,0.85,0.89,0.83,0.85,0.83,0.86,0.78,0.85,0.8,0.86
29,ECG5000,0.93,0.94,0.93,0.94,0.94,0.94,0.94,0.92,0.93,0.94,0.94,0.92
30,ECGFiveDays,0.83,1.0,0.79,1.0,0.79,1.0,0.7,1.0,0.95,1.0,0.93,0.99
31,EOGHorizontalSignal,0.48,0.37,0.49,0.45,0.48,0.38,0.48,0.44,0.51,0.41,0.48,0.47
32,EOGVerticalSignal,0.47,0.33,0.47,0.42,0.44,0.35,0.46,0.41,0.44,0.31,0.45,0.43
33,Earthquakes,0.64,0.72,0.69,0.71,0.75,0.74,0.75,0.61,0.75,0.74,0.75,0.63
34,ElectricDevices,0.65,0.57,0.65,0.41,0.54,0.62,0.56,0.63,0.54,0.63,0.59,0.65
35,EthanolLevel,0.33,0.41,0.36,0.46,0.32,0.4,0.34,0.41,0.34,0.42,0.36,0.49
36,FaceAll,0.77,0.78,0.77,0.78,0.74,0.77,0.75,0.78,0.71,0.77,0.72,0.77
37,FaceFour,1.0,1.0,1.0,1.0,0.96,1.0,0.98,1.0,0.81,0.98,0.93,0.99
38,FacesUCR,0.95,0.96,0.95,0.96,0.9,0.95,0.88,0.95,0.83,0.94,0.82,0.95
39,FiftyWords,0.76,0.77,0.76,0.77,0.38,0.7,0.63,0.72,0.48,0.73,0.61,0.75
40,Fish,0.85,0.91,0.89,0.91,0.89,0.91,0.91,0.91,0.86,0.91,0.9,0.92
41,FordA,0.75,0.89,0.73,0.9,0.69,0.85,0.72,0.87,0.72,0.89,0.78,0.9
42,FordB,0.59,0.77,0.64,0.77,0.61,0.73,0.6,0.74,0.66,0.76,0.63,0.77
43,FreezerRegularTrain,0.92,0.98,0.97,0.97,0.95,0.97,0.94,0.98,0.91,0.96,0.89,0.98
44,FreezerSmallTrain,0.83,0.86,0.85,0.85,0.83,0.78,0.8,0.78,0.82,0.73,0.74,0.73
45,Fungi,1.0,1.0,1.0,1.0,0.94,0.93,0.93,0.94,0.91,0.88,0.9,0.88
46,GestureMidAirD1,0.38,0.51,0.36,0.54,0.48,0.51,0.39,0.55,0.35,0.52,0.37,0.57
47,GestureMidAirD2,0.44,0.43,0.35,0.49,0.43,0.44,0.34,0.49,0.45,0.44,0.39,0.48
48,GestureMidAirD3,0.24,0.28,0.19,0.3,0.21,0.31,0.19,0.31,0.19,0.28,0.2,0.32
49,GesturePebbleZ1,0.82,0.87,0.61,0.87,0.81,0.84,0.67,0.88,0.8,0.86,0.63,0.88
50,GesturePebbleZ2,0.71,0.85,0.53,0.87,0.79,0.79,0.59,0.83,0.78,0.83,0.59,0.87
51,GunPoint,0.94,0.98,0.95,0.97,0.87,0.98,0.92,0.97,0.83,0.95,0.9,0.96
52,GunPointAgeSpan,0.92,0.97,0.94,0.97,0.87,0.94,0.9,0.95,0.87,0.94,0.9,0.96
53,GunPointMaleVersusFemale,0.98,0.99,0.96,0.99,0.96,0.98,0.96,0.97,0.95,0.97,0.95,0.97
54,GunPointOldVersusYoung,0.89,0.96,0.92,0.97,0.86,0.94,0.9,0.94,0.8,0.92,0.85,0.91
55,Ham,0.72,0.74,0.75,0.76,0.73,0.68,0.69,0.68,0.65,0.67,0.69,0.69
56,HandOutlines,0.79,0.91,0.87,0.9,0.89,0.92,0.89,0.91,0.86,0.9,0.85,0.9
57,Haptics,0.42,0.39,0.42,0.4,0.42,0.35,0.42,0.35,0.42,0.37,0.41,0.41
58,Herring,0.62,0.66,0.61,0.67,0.54,0.55,0.54,0.52,0.56,0.57,0.52,0.57
59,HouseTwenty,0.66,0.83,0.59,0.79,0.72,0.83,0.64,0.84,0.71,0.77,0.66,0.81
60,InlineSkate,0.29,0.28,0.22,0.29,0.29,0.25,0.22,0.26,0.31,0.27,0.23,0.3
61,InsectEPGRegularTrain,0.69,0.78,0.69,0.83,0.7,0.78,0.6,0.8,0.76,0.79,0.64,0.83
62,InsectEPGSmallTrain,0.59,0.7,0.66,0.67,0.54,0.63,0.56,0.67,0.59,0.7,0.61,0.72
63,InsectWingbeatSound,0.46,0.54,0.5,0.54,0.58,0.46,0.3,0.51,0.59,0.5,0.32,0.55
64,ItalyPowerDemand,0.94,0.94,0.94,0.94,0.93,0.95,0.93,0.95,0.89,0.96,0.87,0.96
65,LargeKitchenAppliances,0.52,0.59,0.56,0.54,0.57,0.64,0.58,0.53,0.54,0.61,0.58,0.52
66,Lightning2,0.6,0.69,0.57,0.66,0.63,0.67,0.59,0.74,0.63,0.63,0.59,0.65
67,Lightning7,0.56,0.67,0.5,0.69,0.35,0.68,0.55,0.71,0.48,0.67,0.57,0.72
68,Mallat,0.92,0.91,0.92,0.91,0.87,0.87,0.86,0.88,0.87,0.93,0.9,0.94
69,Meat,0.94,0.94,0.93,0.96,0.8,0.96,0.91,0.97,0.83,0.89,0.9,0.93
70,MedicalImages,0.55,0.64,0.57,0.66,0.61,0.55,0.64,0.62,0.63,0.57,0.65,0.64
71,MelbournePedestrian,0.82,0.88,0.83,0.87,0.83,0.87,0.84,0.85,0.83,0.89,0.83,0.86
72,MiddlePhalanxOutlineAgeGroup,0.6,0.51,0.54,0.5,0.59,0.61,0.59,0.54,0.59,0.64,0.63,0.54
73,MiddlePhalanxOutlineCorrect,0.79,0.81,0.79,0.79,0.65,0.76,0.73,0.77,0.66,0.82,0.68,0.81
74,MiddlePhalanxTW,0.53,0.52,0.53,0.54,0.55,0.53,0.56,0.53,0.56,0.52,0.56,0.51
75,MixedShapesRegularTrain,0.83,0.85,0.85,0.86,0.84,0.64,0.84,0.81,0.85,0.79,0.84,0.85
76,MixedShapesSmallTrain,0.79,0.81,0.59,0.82,0.81,0.8,0.55,0.82,0.75,0.8,0.61,0.83
77,MoteStrain,0.86,0.88,0.8,0.89,0.75,0.86,0.76,0.88,0.8,0.85,0.71,0.85
78,NonInvasiveFetalECGThorax1,0.91,0.83,0.92,0.88,0.9,0.75,0.9,0.7,0.91,0.84,0.92,0.88
79,NonInvasiveFetalECGThorax2,0.93,0.92,0.94,0.92,0.91,0.88,0.92,0.85,0.93,0.92,0.93,0.93
80,OSULeaf,0.53,0.56,0.52,0.59,0.57,0.6,0.61,0.61,0.54,0.55,0.53,0.58
81,OliveOil,0.85,0.8,0.87,0.82,0.81,0.87,0.87,0.87,0.82,0.86,0.87,0.84
82,PLAID,0.73,0.78,0.76,0.8,0.68,0.7,0.74,0.54,0.7,0.44,0.74,0.49
83,PhalangesOutlinesCorrect,0.76,0.79,0.78,0.79,0.65,0.66,0.68,0.75,0.66,0.79,0.68,0.8
84,Phoneme,0.12,0.19,0.14,0.18,0.12,0.2,0.16,0.2,0.11,0.18,0.15,0.19
85,PickupGestureWiimoteZ,0.45,0.73,0.6,0.68,0.44,0.69,0.62,0.67,0.4,0.72,0.57,0.67
86,PigAirwayPressure,0.11,0.11,0.12,0.12,0.07,0.06,0.07,0.06,0.11,0.11,0.11,0.12
87,PigArtPressure,0.46,0.43,0.48,0.44,0.71,0.74,0.74,0.75,0.52,0.43,0.5,0.46
88,PigCVP,0.34,0.4,0.4,0.42,0.56,0.61,0.58,0.62,0.37,0.41,0.38,0.39
89,Plane,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,0.96,1.0,0.99,1.0
90,PowerCons,0.84,0.89,0.83,0.86,0.76,0.79,0.8,0.84,0.75,0.81,0.82,0.88
91,ProximalPhalanxOutlineAgeGroup,0.86,0.83,0.84,0.81,0.83,0.84,0.83,0.83,0.84,0.84,0.85,0.84
92,ProximalPhalanxOutlineCorrect,0.85,0.87,0.85,0.87,0.79,0.85,0.82,0.85,0.75,0.85,0.81,0.87
93,ProximalPhalanxTW,0.78,0.79,0.78,0.78,0.78,0.79,0.78,0.79,0.8,0.79,0.79,0.78
94,RefrigerationDevices,0.4,0.46,0.46,0.39,0.37,0.4,0.37,0.37,0.4,0.46,0.41,0.38
95,Rock,0.63,0.72,0.68,0.78,0.55,0.77,0.7,0.78,0.6,0.79,0.72,0.77
96,ScreenType,0.39,0.4,0.38,0.34,0.39,0.4,0.4,0.35,0.41,0.38,0.39,0.34
97,SemgHandGenderCh2,0.72,0.85,0.72,0.76,0.76,0.86,0.76,0.76,0.77,0.86,0.74,0.76
98,SemgHandMovementCh2,0.47,0.31,0.48,0.48,0.45,0.31,0.47,0.44,0.47,0.33,0.47,0.48
99,SemgHandSubjectCh2,0.72,0.45,0.73,0.79,0.71,0.43,0.76,0.78,0.73,0.41,0.75,0.79
