,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,range_q,method,len_method
0,1.0,2.660247802734375,0.07637333869934082,2.4369988441467285,0.11599564552307129,0.028428077697753906,Plane,ACF&PACF: p=0 q=0,0,Rsastmf,ACF&PACF
1,0.9904761904761905,2.8106448650360107,0.08241438865661621,2.60549259185791,0.09594321250915527,0.024694442749023438,Plane,ACF&PACF: p=0 q=0,0,DictRsast,ACF&PACF
2,1.0,2.29276967048645,0.06132006645202637,2.09051513671875,0.11599087715148926,0.02325725555419922,Plane,ACF&PACF: p=0 q=0.1,0.1,Rsastmf,ACF&PACF
3,1.0,2.3263373374938965,0.06203174591064453,2.1301774978637695,0.10511064529418945,0.0263364315032959,Plane,ACF&PACF: p=0 q=0.1,0.1,DictRsast,ACF&PACF
4,1.0,2.3648033142089844,0.0608980655670166,2.1579983234405518,0.11903834342956543,0.024180173873901367,Plane,ACF&PACF: p=0.1 q=0.1,0.1,Rsastmf,ACF&PACF
5,1.0,1.8236477375030518,0.04541182518005371,1.6171188354492188,0.13522791862487793,0.023709774017333984,Plane,ACF&PACF: p=0.1 q=0.1,0.1,DictRsast,ACF&PACF
