,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,range_q,method,len_method
0,0.5625,57.84909629821777,0.15800857543945312,57.40571427345276,0.2641730308532715,0.01674485206604004,Herring,ACF&PACF: p=0 q=0,0,Rsastmf,ACF&PACF
1,0.71875,69.38314890861511,0.11745119094848633,69.01899790763855,0.22499608993530273,0.019695520401000977,Herring,ACF&PACF: p=0 q=0,0,DictRsast,ACF&PACF
2,0.53125,62.30428957939148,0.11577606201171875,61.9150927066803,0.24838542938232422,0.021653413772583008,Herring,ACF&PACF: p=0 q=0.1,0.1,Rsastmf,ACF&PACF
3,0.546875,81.33424520492554,0.15657663345336914,80.92436647415161,0.23318719863891602,0.015151500701904297,Herring,ACF&PACF: p=0 q=0.1,0.1,DictRsast,ACF&PACF
4,0.59375,61.22432541847229,0.1173088550567627,60.83298134803772,0.2515237331390381,0.01997828483581543,Herring,ACF&PACF: p=0.1 q=0.1,0.1,Rsastmf,ACF&PACF
5,0.59375,55.73763871192932,0.11614441871643066,55.34140372276306,0.25689148902893066,0.021123409271240234,Herring,ACF&PACF: p=0.1 q=0.1,0.1,DictRsast,ACF&PACF
