,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,range_q,method,len_method
0,0.7872,3.7421858310699463,0.11931657791137695,2.591092109680176,0.70680832862854,0.3218247890472412,SwedishLeaf,ACF&PACF: p=0 q=0,0,Rsastmf,ACF&PACF
1,0.8624,3.9182424545288086,0.12404894828796387,2.622121572494507,0.7587985992431641,0.4096038341522217,SwedishLeaf,ACF&PACF: p=0 q=0,0,DictRsast,ACF&PACF
2,0.7792,3.866056203842163,0.13740229606628418,2.6704788208007812,0.7828962802886963,0.2708289623260498,SwedishLeaf,ACF&PACF: p=0 q=0.1,0.1,Rsastmf,ACF&PACF
3,0.8928,3.9530205726623535,0.09337902069091797,2.7632195949554443,0.757227897644043,0.33500170707702637,SwedishLeaf,ACF&PACF: p=0 q=0.1,0.1,DictRsast,ACF&PACF
4,0.8048,4.084878921508789,0.12398505210876465,2.9183156490325928,0.7703943252563477,0.2678258419036865,SwedishLeaf,ACF&PACF: p=0.1 q=0.1,0.1,Rsastmf,ACF&PACF
5,0.8288,4.075561285018921,0.12046337127685547,2.8086016178131104,0.7370986938476562,0.4053177833557129,SwedishLeaf,ACF&PACF: p=0.1 q=0.1,0.1,DictRsast,ACF&PACF
