,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,range_q,method,len_method
0,0.7,5931.538264274597,1.1258068084716797,5924.464347600937,5.906768798828125,0.03949141502380371,Rock,ACF&PACF: p=0 q=0,0,Rsastmf,ACF&PACF
1,0.68,5935.251772880554,1.3791091442108154,5928.039568901062,5.79091215133667,0.04043388366699219,Rock,ACF&PACF: p=0 q=0,0,DictRsast,ACF&PACF
2,0.7,5730.6404395103455,1.3998777866363525,5723.210428953171,5.982903480529785,0.03217768669128418,Rock,ACF&PACF: p=0 q=0.1,0.1,Rsastmf,ACF&PACF
3,0.76,5712.2468292713165,1.3987712860107422,5704.548453330994,6.254577398300171,0.03380537033081055,Rock,ACF&PACF: p=0 q=0.1,0.1,DictRsast,ACF&PACF
4,0.72,5631.3808925151825,1.402343511581421,5623.927875041962,6.005376815795898,0.03374958038330078,Rock,ACF&PACF: p=0.1 q=0.1,0.1,Rsastmf,ACF&PACF
5,0.68,5724.018107414246,1.4067347049713135,5716.499116897583,6.057650804519653,0.043169498443603516,Rock,ACF&PACF: p=0.1 q=0.1,0.1,DictRsast,ACF&PACF
