,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,range_p,range_q,method,len_method
13,0.5480769230769231,13711.313767433167,3.1406409740448,13665.297980308533,42.2977409362793,0.5469794273376465,PigAirwayPressure,ACF&PACF: p=0.1 q=0.3,0.1,0.3,DictRsast,ACF&PACF
14,0.125,14291.74761390686,3.124631404876709,14247.983382225037,40.050701379776,0.5462703704833984,PigAirwayPressure,ACF&PACF: p=0.2 q=0.2,0.2,0.2,Rsastmf,ACF&PACF
15,0.5817307692307693,12817.425646543503,3.222578287124634,12774.414078712463,39.19344639778137,0.5496723651885986,PigAirwayPressure,ACF&PACF: p=0.2 q=0.2,0.2,0.2,DictRsast,ACF&PACF
16,0.11057692307692307,14701.85470533371,2.2494211196899414,14659.258720874786,39.761292457580566,0.5461673736572266,PigAirwayPressure,ACF&PACF: p=0.2 q=0.3,0.2,0.3,Rsastmf,ACF&PACF
17,0.4567307692307692,14924.338591337204,3.1326262950897217,14881.130259752274,39.47296214103699,0.5583362579345703,PigAirwayPressure,ACF&PACF: p=0.2 q=0.3,0.2,0.3,DictRsast,ACF&PACF
18,0.11057692307692307,15381.742498874664,3.11851167678833,15338.646134376526,39.3768835067749,0.5503988265991211,PigAirwayPressure,ACF&PACF: p=0.3 q=0.3,0.3,0.3,Rsastmf,ACF&PACF
19,0.40865384615384615,15049.029860258102,3.1424355506896973,15003.646226882935,41.6590359210968,0.5502591133117676,PigAirwayPressure,ACF&PACF: p=0.3 q=0.3,0.3,0.3,DictRsast,ACF&PACF
20,0.052884615384615384,13161.631592035294,3.1954970359802246,13156.72542142868,1.646270990371704,0.017737150192260742,PigAirwayPressure,PACF: p=0 q=0,0,0,Rsastmf,PACF
21,0.10096153846153846,13029.092946052551,2.8773882389068604,13024.55802989006,1.6078927516937256,0.017195940017700195,PigAirwayPressure,PACF: p=0 q=0,0,0,DictRsast,PACF
22,0.07211538461538461,14830.619641304016,2.753180980682373,14826.231600761414,1.6165144443511963,0.01669144630432129,PigAirwayPressure,PACF: p=0 q=0.1,0,0.1,Rsastmf,PACF
23,0.11057692307692307,14520.494563102722,2.8230984210968018,14516.144999742508,1.5074946880340576,0.017467975616455078,PigAirwayPressure,PACF: p=0 q=0.1,0,0.1,DictRsast,PACF
24,0.0625,11590.484527349472,3.018131971359253,11585.981347084045,1.468139410018921,0.015300989151000977,PigAirwayPressure,PACF: p=0 q=0.2,0,0.2,Rsastmf,PACF
25,0.11538461538461539,12520.091834783554,2.874436378479004,12515.323409795761,1.8776311874389648,0.014746665954589844,PigAirwayPressure,PACF: p=0 q=0.2,0,0.2,DictRsast,PACF
26,0.07211538461538461,12393.869958639145,2.673262596130371,12389.743762493134,1.435821533203125,0.01555013656616211,PigAirwayPressure,PACF: p=0 q=0.3,0,0.3,Rsastmf,PACF
27,0.12980769230769232,12061.839041233063,2.8596298694610596,12057.45759677887,1.503594160079956,0.016631603240966797,PigAirwayPressure,PACF: p=0 q=0.3,0,0.3,DictRsast,PACF
28,0.0625,11535.557117462158,2.8322901725769043,11531.131496191025,1.575012445449829,0.01676321029663086,PigAirwayPressure,PACF: p=0.1 q=0.1,0.1,0.1,Rsastmf,PACF
29,0.11057692307692307,12239.472242116928,2.666093111038208,12235.152329921722,1.632667064666748,0.01929616928100586,PigAirwayPressure,PACF: p=0.1 q=0.1,0.1,0.1,DictRsast,PACF
30,0.07211538461538461,11992.225484132767,2.9272851943969727,11987.484333992004,1.7949540615081787,0.017633676528930664,PigAirwayPressure,PACF: p=0.1 q=0.2,0.1,0.2,Rsastmf,PACF
31,0.125,11340.64114689827,2.9489309787750244,11336.070635795593,1.6028087139129639,0.016988039016723633,PigAirwayPressure,PACF: p=0.1 q=0.2,0.1,0.2,DictRsast,PACF
32,0.07211538461538461,12510.668534994125,2.7768335342407227,12506.441947698593,1.4332351684570312,0.014895915985107422,PigAirwayPressure,PACF: p=0.1 q=0.3,0.1,0.3,Rsastmf,PACF
33,0.14903846153846154,11896.633511781693,2.782731533050537,11892.192183971405,1.64017915725708,0.016894102096557617,PigAirwayPressure,PACF: p=0.1 q=0.3,0.1,0.3,DictRsast,PACF
34,0.052884615384615384,12298.397233724594,3.1020565032958984,12293.639548540115,1.6365606784820557,0.01755046844482422,PigAirwayPressure,PACF: p=0.2 q=0.2,0.2,0.2,Rsastmf,PACF
35,0.125,11425.23106956482,2.2288737297058105,11421.321946382523,1.6620995998382568,0.016832590103149414,PigAirwayPressure,PACF: p=0.2 q=0.2,0.2,0.2,DictRsast,PACF
36,0.0673076923076923,12144.221925973892,2.9573402404785156,12139.502414941788,1.7432374954223633,0.017441749572753906,PigAirwayPressure,PACF: p=0.2 q=0.3,0.2,0.3,Rsastmf,PACF
37,0.1201923076923077,12043.439334154129,3.0066652297973633,12038.688791036606,1.7258071899414062,0.01636672019958496,PigAirwayPressure,PACF: p=0.2 q=0.3,0.2,0.3,DictRsast,PACF
38,0.0625,11872.859925031662,2.9401140213012695,11868.161115169525,1.7409470081329346,0.01617741584777832,PigAirwayPressure,PACF: p=0.3 q=0.3,0.3,0.3,Rsastmf,PACF
39,0.12980769230769232,13031.680186271667,2.9823248386383057,13027.166702747345,1.5124187469482422,0.017253637313842773,PigAirwayPressure,PACF: p=0.3 q=0.3,0.3,0.3,DictRsast,PACF
40,0.11538461538461539,48.49637317657471,2.949138641357422,4.9362952709198,40.06459188461304,0.5443627834320068,PigAirwayPressure,ACF: p=0 q=0,0,0,Rsastmf,ACF
41,0.9182692307692307,47.957332372665405,3.1513288021087646,4.914058208465576,39.32558083534241,0.5643882751464844,PigAirwayPressure,ACF: p=0 q=0,0,0,DictRsast,ACF
42,0.11538461538461539,48.82295060157776,3.151444911956787,5.065564393997192,40.00441837310791,0.5520575046539307,PigAirwayPressure,ACF: p=0 q=0.1,0,0.1,Rsastmf,ACF
43,0.9038461538461539,47.79764914512634,3.1307311058044434,4.949126958847046,39.119731426239014,0.5536563396453857,PigAirwayPressure,ACF: p=0 q=0.1,0,0.1,DictRsast,ACF
44,0.12980769230769232,49.2011604309082,3.236680507659912,5.055805921554565,40.30317735671997,0.552422285079956,PigAirwayPressure,ACF: p=0 q=0.2,0,0.2,Rsastmf,ACF
45,0.8557692307692307,48.73424315452576,4.094143629074097,4.918887615203857,39.13815975189209,0.5480401515960693,PigAirwayPressure,ACF: p=0 q=0.2,0,0.2,DictRsast,ACF
46,0.11538461538461539,49.15410375595093,3.127413034439087,4.963730335235596,40.46354651451111,0.554041862487793,PigAirwayPressure,ACF: p=0 q=0.3,0,0.3,Rsastmf,ACF
47,0.8221153846153846,48.91865396499634,3.139263391494751,4.927929878234863,40.255255460739136,0.5663511753082275,PigAirwayPressure,ACF: p=0 q=0.3,0,0.3,DictRsast,ACF
48,0.11057692307692307,48.40151119232178,3.1247031688690186,4.947612762451172,39.7309410572052,0.5636200904846191,PigAirwayPressure,ACF: p=0.1 q=0.1,0.1,0.1,Rsastmf,ACF
49,0.7836538461538461,48.04604911804199,3.1436076164245605,4.911431074142456,39.40793514251709,0.5483400821685791,PigAirwayPressure,ACF: p=0.1 q=0.1,0.1,0.1,DictRsast,ACF
50,0.1201923076923077,48.68414115905762,3.131214141845703,4.933109760284424,40.0295991897583,0.5467936992645264,PigAirwayPressure,ACF: p=0.1 q=0.2,0.1,0.2,Rsastmf,ACF
51,0.7115384615384616,50.41877603530884,3.132327079772949,4.892976760864258,41.80229163169861,0.5537805557250977,PigAirwayPressure,ACF: p=0.1 q=0.2,0.1,0.2,DictRsast,ACF
52,0.11057692307692307,48.811113357543945,3.139554262161255,4.927484512329102,40.16093063354492,0.542849063873291,PigAirwayPressure,ACF: p=0.1 q=0.3,0.1,0.3,Rsastmf,ACF
53,0.5432692307692307,48.18026280403137,3.1431775093078613,4.882612466812134,39.58658957481384,0.5421159267425537,PigAirwayPressure,ACF: p=0.1 q=0.3,0.1,0.3,DictRsast,ACF
54,0.11538461538461539,48.94935870170593,3.123380422592163,4.9246604442596436,40.30458450317383,0.5536270141601562,PigAirwayPressure,ACF: p=0.2 q=0.2,0.2,0.2,Rsastmf,ACF
55,0.5865384615384616,48.35325384140015,3.1564834117889404,4.885829925537109,39.743061542510986,0.5441722869873047,PigAirwayPressure,ACF: p=0.2 q=0.2,0.2,0.2,DictRsast,ACF
56,0.11538461538461539,48.90318012237549,3.1314001083374023,4.958864212036133,40.21483111381531,0.5572924613952637,PigAirwayPressure,ACF: p=0.2 q=0.3,0.2,0.3,Rsastmf,ACF
57,0.4567307692307692,48.215941190719604,3.1632676124572754,4.8996734619140625,39.5740225315094,0.548506498336792,PigAirwayPressure,ACF: p=0.2 q=0.3,0.2,0.3,DictRsast,ACF
58,0.11057692307692307,48.3078989982605,3.1337735652923584,4.919402837753296,39.664340019226074,0.5491557121276855,PigAirwayPressure,ACF: p=0.3 q=0.3,0.3,0.3,Rsastmf,ACF
59,0.40865384615384615,48.32614541053772,3.152808427810669,4.889191627502441,39.70524191856384,0.5488865375518799,PigAirwayPressure,ACF: p=0.3 q=0.3,0.3,0.3,DictRsast,ACF
