,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,range_p,range_q,method,len_method
0,0.11538461538461539,12954.147629976273,3.1366326808929443,12911.973160028458,38.43971514701843,0.5432131290435791,PigAirwayPressure,ACF&PACF: p=0 q=0,0,0,Rsastmf,ACF&PACF
1,0.9278846153846154,13180.316601514816,3.1373088359832764,13138.09156870842,38.50559163093567,0.5517494678497314,PigAirwayPressure,ACF&PACF: p=0 q=0,0,0,DictRsast,ACF&PACF
2,0.10096153846153846,13700.688552856445,3.1330153942108154,13657.054349184036,39.91291618347168,0.545215368270874,PigAirwayPressure,ACF&PACF: p=0 q=0.1,0,0.1,Rsastmf,ACF&PACF
3,0.9038461538461539,15031.240799665451,3.1426472663879395,14989.016297340393,38.49956440925598,0.5550684928894043,PigAirwayPressure,ACF&PACF: p=0 q=0.1,0,0.1,DictRsast,ACF&PACF
4,0.125,15546.153201341629,3.1274306774139404,15501.876779556274,40.55520534515381,0.5487711429595947,PigAirwayPressure,ACF&PACF: p=0 q=0.2,0,0.2,Rsastmf,ACF&PACF
5,0.8605769230769231,13950.434341669083,3.1310789585113525,13908.39711856842,38.32979941368103,0.5478789806365967,PigAirwayPressure,ACF&PACF: p=0 q=0.2,0,0.2,DictRsast,ACF&PACF
6,0.11057692307692307,14350.295132875443,3.187591075897217,14306.600703716278,39.88695955276489,0.5490419864654541,PigAirwayPressure,ACF&PACF: p=0 q=0.3,0,0.3,Rsastmf,ACF&PACF
7,0.8028846153846154,13887.870658159256,3.148793935775757,13844.910970211029,39.21143174171448,0.5626411437988281,PigAirwayPressure,ACF&PACF: p=0 q=0.3,0,0.3,DictRsast,ACF&PACF
8,0.1201923076923077,11878.224496126175,3.1363203525543213,11834.77938914299,39.70925855636597,0.5471410751342773,PigAirwayPressure,ACF&PACF: p=0.1 q=0.1,0.1,0.1,Rsastmf,ACF&PACF
9,0.7980769230769231,12721.580723762512,3.1503090858459473,12678.148345947266,39.697935819625854,0.5541706085205078,PigAirwayPressure,ACF&PACF: p=0.1 q=0.1,0.1,0.1,DictRsast,ACF&PACF
10,0.11057692307692307,15141.240378141403,3.141702890396118,15096.776701927185,40.73257374763489,0.5503184795379639,PigAirwayPressure,ACF&PACF: p=0.1 q=0.2,0.1,0.2,Rsastmf,ACF&PACF
11,0.7067307692307693,14616.358205795288,3.1450746059417725,14573.198980808258,39.42291045188904,0.553943395614624,PigAirwayPressure,ACF&PACF: p=0.1 q=0.2,0.1,0.2,DictRsast,ACF&PACF
12,0.10096153846153846,15437.51528596878,3.136044502258301,15393.488709926605,40.30117130279541,0.5501322746276855,PigAirwayPressure,ACF&PACF: p=0.1 q=0.3,0.1,0.3,Rsastmf,ACF&PACF
