,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,range_q,method,len_method
0,0.6233766233766234,331.3177869319916,0.48699498176574707,327.9189772605896,2.8105480670928955,0.09740090370178223,WormsTwoClass,ACF&PACF: p=0 q=0,0,Rsastmf,ACF&PACF
1,0.6363636363636364,312.3179886341095,0.474560022354126,309.4923505783081,2.2436347007751465,0.10372376441955566,WormsTwoClass,ACF&PACF: p=0 q=0,0,DictRsast,ACF&PACF
2,0.6103896103896104,392.56342029571533,0.5079174041748047,389.85687255859375,2.099372386932373,0.09562993049621582,WormsTwoClass,ACF&PACF: p=0 q=0.1,0.1,Rsastmf,ACF&PACF
3,0.6363636363636364,408.62625646591187,0.4722321033477783,405.87529158592224,2.1771552562713623,0.09831905364990234,WormsTwoClass,ACF&PACF: p=0 q=0.1,0.1,DictRsast,ACF&PACF
4,0.5194805194805194,330.8070435523987,0.47554540634155273,327.2109110355377,3.0203826427459717,0.09681415557861328,WormsTwoClass,ACF&PACF: p=0.1 q=0.1,0.1,Rsastmf,ACF&PACF
5,0.7142857142857143,433.87747836112976,0.48316168785095215,429.3763539791107,3.9048845767974854,0.10912036895751953,WormsTwoClass,ACF&PACF: p=0.1 q=0.1,0.1,DictRsast,ACF&PACF
