,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,range_q,method,len_method
0,0.72,153.23178434371948,0.4223518371582031,150.7473828792572,1.944422960281372,0.11086535453796387,Computers,ACF&PACF: p=0 q=0,0,Rsastmf,ACF&PACF
1,0.68,183.12415552139282,0.39326047897338867,180.6816692352295,1.9365644454956055,0.10862874984741211,Computers,ACF&PACF: p=0 q=0,0,DictRsast,ACF&PACF
2,0.74,144.47762846946716,0.43158984184265137,142.2827606201172,1.6509246826171875,0.10878396034240723,Computers,ACF&PACF: p=0 q=0.1,0.1,Rsastmf,ACF&PACF
3,0.716,147.15333580970764,0.3707389831542969,144.5379559993744,2.1166789531707764,0.12583470344543457,Computers,ACF&PACF: p=0 q=0.1,0.1,DictRsast,ACF&PACF
4,0.724,166.0138602256775,0.4272627830505371,163.33860087394714,2.1277756690979004,0.11658382415771484,Computers,ACF&PACF: p=0.1 q=0.1,0.1,Rsastmf,ACF&PACF
5,0.696,201.9152262210846,0.3924844264984131,199.25368809700012,2.1617367267608643,0.10442709922790527,Computers,ACF&PACF: p=0.1 q=0.1,0.1,DictRsast,ACF&PACF
