,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,range_q,method,len_method
0,0.8535,2.0589182376861572,0.08566474914550781,1.1370036602020264,0.3638575077056885,0.4706847667694092,TwoPatterns,ACF&PACF: p=0 q=0,0,Rsastmf,ACF&PACF
1,0.8335,1.8940060138702393,0.08580589294433594,1.0913653373718262,0.3535637855529785,0.361478328704834,TwoPatterns,ACF&PACF: p=0 q=0,0,DictRsast,ACF&PACF
2,0.8995,1.900878667831421,0.08239579200744629,1.0457019805908203,0.3380115032196045,0.4330141544342041,TwoPatterns,ACF&PACF: p=0 q=0.1,0.1,Rsastmf,ACF&PACF
3,0.79725,1.8459281921386719,0.08578968048095703,1.035022497177124,0.3199586868286133,0.4037749767303467,TwoPatterns,ACF&PACF: p=0 q=0.1,0.1,DictRsast,ACF&PACF
4,0.91125,1.8158016204833984,0.08544325828552246,1.0320866107940674,0.32286691665649414,0.37399983406066895,TwoPatterns,ACF&PACF: p=0.1 q=0.1,0.1,Rsastmf,ACF&PACF
5,0.7675,1.8065876960754395,0.06563735008239746,0.915942907333374,0.37362146377563477,0.449756383895874,TwoPatterns,ACF&PACF: p=0.1 q=0.1,0.1,DictRsast,ACF&PACF
