,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,range_q,method,len_method
0,0.8279883381924198,0.07831430435180664,0.006714820861816406,0.018943071365356445,0.027916908264160156,0.02409958839416504,Chinatown,ACF&PACF: p=0 q=0,0,Rsastmf,ACF&PACF
1,0.9475218658892128,0.07712125778198242,0.0071010589599609375,0.02070164680480957,0.02801823616027832,0.020869970321655273,Chinatown,ACF&PACF: p=0 q=0,0,DictRsast,ACF&PACF
2,0.8192419825072886,0.06727004051208496,0.006862163543701172,0.020572423934936523,0.03138279914855957,0.007866859436035156,Chinatown,ACF&PACF: p=0 q=0.1,0.1,Rsastmf,ACF&PACF
3,0.9620991253644315,0.060950517654418945,0.0069658756256103516,0.02085566520690918,0.02643752098083496,0.006276845932006836,Chinatown,ACF&PACF: p=0 q=0.1,0.1,DictRsast,ACF&PACF
4,0.8892128279883382,0.09566235542297363,0.014825105667114258,0.0237123966217041,0.04549717903137207,0.011038064956665039,Chinatown,ACF&PACF: p=0 q=0.2,0.2,Rsastmf,ACF&PACF
5,0.9533527696793003,0.09828305244445801,0.021195173263549805,0.03182053565979004,0.0429229736328125,0.0019006729125976562,Chinatown,ACF&PACF: p=0 q=0.2,0.2,DictRsast,ACF&PACF
6,0.9271137026239067,0.09708809852600098,0.02009296417236328,0.024576902389526367,0.03491520881652832,0.017098188400268555,Chinatown,ACF&PACF: p=0 q=0.3,0.3,Rsastmf,ACF&PACF
7,0.9183673469387755,0.09398269653320312,0.03156304359436035,0.035349369049072266,0.020249605178833008,0.006410121917724609,Chinatown,ACF&PACF: p=0 q=0.3,0.3,DictRsast,ACF&PACF
8,0.9620991253644315,0.1100766658782959,0.019962787628173828,0.03339052200317383,0.04901862144470215,0.007239103317260742,Chinatown,ACF&PACF: p=0 q=0.4,0.4,Rsastmf,ACF&PACF
9,0.9475218658892128,0.09502458572387695,0.016258716583251953,0.026978015899658203,0.043088436126708984,0.008265256881713867,Chinatown,ACF&PACF: p=0 q=0.4,0.4,DictRsast,ACF&PACF
10,0.8717201166180758,0.07978200912475586,0.00733637809753418,0.031545400619506836,0.03232097625732422,0.008155345916748047,Chinatown,ACF&PACF: p=0.1 q=0.1,0.1,Rsastmf,ACF&PACF
11,0.9766763848396501,0.10027217864990234,0.017796754837036133,0.021701335906982422,0.03909802436828613,0.01754474639892578,Chinatown,ACF&PACF: p=0.1 q=0.1,0.1,DictRsast,ACF&PACF
12,0.7959183673469388,0.09705066680908203,0.0068018436431884766,0.03290843963623047,0.054998159408569336,0.0019249916076660156,Chinatown,ACF&PACF: p=0.1 q=0.2,0.2,Rsastmf,ACF&PACF
13,0.9650145772594753,0.09610819816589355,0.006642818450927734,0.04230666160583496,0.041593313217163086,0.005118608474731445,Chinatown,ACF&PACF: p=0.1 q=0.2,0.2,DictRsast,ACF&PACF
14,0.8425655976676385,0.09779739379882812,0.01062464714050293,0.03277754783630371,0.045874595642089844,0.008090019226074219,Chinatown,ACF&PACF: p=0.1 q=0.3,0.3,Rsastmf,ACF&PACF
15,0.9591836734693877,0.08743071556091309,0.013817548751831055,0.021474599838256836,0.048503875732421875,0.0019562244415283203,Chinatown,ACF&PACF: p=0.1 q=0.3,0.3,DictRsast,ACF&PACF
16,0.7871720116618076,0.07359719276428223,0.011463403701782227,0.021037817001342773,0.03221487998962402,0.008487224578857422,Chinatown,ACF&PACF: p=0.1 q=0.4,0.4,Rsastmf,ACF&PACF
17,0.8775510204081632,0.07795882225036621,0.014771461486816406,0.020149707794189453,0.02861642837524414,0.013998985290527344,Chinatown,ACF&PACF: p=0.1 q=0.4,0.4,DictRsast,ACF&PACF
