,accuracy,time,cweights_time,fsubsequence_time,tdataset_time,tclassifier_time,dataset_name,classifier_name,range_q,method,len_method
0,0.7824,3.8517820835113525,0.11411523818969727,2.688386917114258,0.6471900939941406,0.3970041275024414,SwedishLeaf,ACF&PACF: p=0 q=0,0,Rsastmf,ACF&PACF
1,0.8768,4.023446321487427,0.12045907974243164,2.8312103748321533,0.7313480377197266,0.33655381202697754,SwedishLeaf,ACF&PACF: p=0 q=0,0,DictRsast,ACF&PACF
2,0.7856,3.9237115383148193,0.12294673919677734,2.82285737991333,0.6866738796234131,0.2869296073913574,SwedishLeaf,ACF&PACF: p=0 q=0.1,0.1,Rsastmf,ACF&PACF
3,0.8976,3.875321388244629,0.0942530632019043,2.709455728530884,0.6686372756958008,0.3980562686920166,SwedishLeaf,ACF&PACF: p=0 q=0.1,0.1,DictRsast,ACF&PACF
4,0.768,3.9448812007904053,0.09307694435119629,2.7166318893432617,0.7226283550262451,0.4087491035461426,SwedishLeaf,ACF&PACF: p=0.1 q=0.1,0.1,Rsastmf,ACF&PACF
5,0.8112,3.883347988128662,0.12453293800354004,2.784545421600342,0.7032477855682373,0.2667086124420166,SwedishLeaf,ACF&PACF: p=0.1 q=0.1,0.1,DictRsast,ACF&PACF
