,dataset_name,ACF&PACF: n_random_points=10 nb_inst_per_class=1,ACF&PACF: n_random_points=10 nb_inst_per_class=10,ACF&PACF: n_random_points=30 nb_inst_per_class=1,ACF&PACF: n_random_points=30 nb_inst_per_class=10,Max PACF: n_random_points=10 nb_inst_per_class=1,Max PACF: n_random_points=10 nb_inst_per_class=10,Max PACF: n_random_points=30 nb_inst_per_class=1,Max PACF: n_random_points=30 nb_inst_per_class=10,None: n_random_points=10 nb_inst_per_class=1,None: n_random_points=10 nb_inst_per_class=10,None: n_random_points=30 nb_inst_per_class=1,None: n_random_points=30 nb_inst_per_class=10
51,GunPoint,0.95,0.98,0.96,0.99,0.89,0.95,0.86,0.95,0.87,0.94,0.83,0.95
52,GunPointAgeSpan,0.95,0.97,0.94,0.98,0.88,0.95,0.89,0.95,0.85,0.94,0.87,0.95
53,GunPointMaleVersusFemale,0.97,0.99,0.98,0.99,0.96,0.97,0.96,0.97,0.95,0.97,0.95,0.97
54,GunPointOldVersusYoung,0.92,0.97,0.93,0.98,0.83,0.94,0.87,0.91,0.76,0.95,0.88,0.92
55,Ham,0.73,0.81,0.73,0.81,0.67,0.69,0.71,0.69,0.68,0.71,0.71,0.74
56,HandOutlines,0.82,0.85,0.84,0.86,0.9,0.92,0.91,0.92,0.88,0.92,0.89,0.92
57,Haptics,0.44,0.49,0.45,0.48,0.44,0.36,0.45,0.38,0.46,0.41,0.45,0.43
58,Herring,0.55,0.59,0.6,0.6,0.63,0.48,0.61,0.48,0.61,0.55,0.58,0.52
59,HouseTwenty,0.79,0.83,0.81,0.83,0.65,0.78,0.61,0.81,0.67,0.77,0.59,0.78
60,InlineSkate,0.31,0.33,0.31,0.33,0.32,0.27,0.24,0.27,0.29,0.29,0.23,0.3
61,InsectEPGRegularTrain,0.88,0.91,0.89,0.91,0.8,0.84,0.58,0.86,0.76,0.81,0.76,0.82
62,InsectEPGSmallTrain,0.59,0.69,0.62,0.69,0.6,0.68,0.62,0.68,0.49,0.58,0.57,0.59
63,InsectWingbeatSound,0.49,0.55,0.5,0.55,0.59,0.48,0.32,0.51,0.6,0.51,0.35,0.54
64,ItalyPowerDemand,0.94,0.96,0.93,0.96,0.93,0.96,0.93,0.96,0.91,0.96,0.9,0.96
65,LargeKitchenAppliances,0.64,0.74,0.67,0.75,0.56,0.71,0.65,0.59,0.55,0.65,0.59,0.58
66,Lightning2,0.67,0.75,0.68,0.75,0.66,0.7,0.57,0.74,0.66,0.69,0.58,0.72
67,Lightning7,0.7,0.75,0.7,0.75,0.4,0.68,0.52,0.7,0.48,0.63,0.53,0.66
68,Mallat,0.91,0.91,0.91,0.91,0.87,0.87,0.88,0.88,0.86,0.91,0.89,0.92
69,Meat,0.98,0.99,0.98,0.99,0.86,0.98,0.95,0.98,0.84,0.98,0.92,0.97
70,MedicalImages,0.53,0.65,0.57,0.66,0.62,0.55,0.65,0.63,0.64,0.59,0.66,0.64
71,MelbournePedestrian,0.87,0.87,0.87,0.87,0.85,0.88,0.85,0.86,0.85,0.9,0.86,0.88
72,MiddlePhalanxOutlineAgeGroup,0.72,0.71,0.71,0.7,0.72,0.71,0.72,0.7,0.71,0.72,0.73,0.72
73,MiddlePhalanxOutlineCorrect,0.79,0.81,0.79,0.8,0.7,0.77,0.73,0.78,0.7,0.8,0.7,0.81
74,MiddlePhalanxTW,0.57,0.54,0.56,0.53,0.61,0.6,0.62,0.59,0.62,0.57,0.61,0.57
75,MixedShapesRegularTrain,0.88,0.91,0.89,0.91,0.84,0.64,0.84,0.81,0.84,0.83,0.85,0.86
76,MixedShapesSmallTrain,0.76,0.8,0.77,0.8,0.77,0.73,0.52,0.76,0.74,0.77,0.63,0.78
77,MoteStrain,0.79,0.83,0.8,0.84,0.78,0.83,0.76,0.83,0.76,0.88,0.77,0.87
78,NonInvasiveFetalECGThorax1,0.89,0.9,0.9,0.9,0.88,0.76,0.89,0.73,0.9,0.84,0.91,0.88
79,NonInvasiveFetalECGThorax2,0.93,0.93,0.93,0.94,0.93,0.88,0.93,0.85,0.94,0.92,0.94,0.93
80,OSULeaf,0.67,0.72,0.68,0.71,0.57,0.61,0.6,0.65,0.56,0.57,0.58,0.63
81,OliveOil,0.85,0.87,0.85,0.86,0.78,0.83,0.82,0.83,0.78,0.8,0.81,0.83
82,PLAID,0.71,0.81,0.75,0.82,0.66,0.67,0.72,0.54,0.7,0.4,0.73,0.55
83,PhalangesOutlinesCorrect,0.77,0.8,0.79,0.8,0.68,0.75,0.7,0.78,0.68,0.79,0.7,0.8
84,Phoneme,0.21,0.23,0.22,0.23,0.11,0.2,0.16,0.2,0.11,0.19,0.15,0.2
85,PickupGestureWiimoteZ,0.63,0.71,0.65,0.7,0.31,0.63,0.53,0.68,0.38,0.58,0.48,0.57
86,PigAirwayPressure,0.3,0.3,0.3,0.3,0.08,0.08,0.09,0.08,0.09,0.09,0.1,0.1
87,PigArtPressure,0.61,0.61,0.61,0.61,0.54,0.56,0.55,0.56,0.4,0.36,0.39,0.35
88,PigCVP,0.61,0.61,0.61,0.61,0.42,0.48,0.47,0.49,0.29,0.29,0.31,0.33
89,Plane,0.99,1.0,1.0,1.0,0.99,0.99,0.98,0.99,0.98,0.99,0.99,0.99
90,PowerCons,0.78,0.87,0.82,0.87,0.78,0.76,0.8,0.83,0.75,0.8,0.81,0.87
91,ProximalPhalanxOutlineAgeGroup,0.83,0.83,0.84,0.83,0.82,0.84,0.83,0.84,0.82,0.84,0.82,0.84
92,ProximalPhalanxOutlineCorrect,0.84,0.86,0.83,0.86,0.77,0.82,0.8,0.82,0.76,0.84,0.8,0.85
93,ProximalPhalanxTW,0.79,0.81,0.8,0.79,0.8,0.8,0.8,0.81,0.79,0.8,0.81,0.8
94,RefrigerationDevices,0.58,0.62,0.59,0.63,0.39,0.49,0.43,0.45,0.43,0.52,0.43,0.48
95,Rock,0.75,0.76,0.71,0.75,0.62,0.74,0.67,0.75,0.57,0.73,0.61,0.75
96,ScreenType,0.41,0.45,0.42,0.46,0.39,0.44,0.4,0.38,0.41,0.44,0.41,0.39
97,SemgHandGenderCh2,0.83,0.9,0.83,0.9,0.76,0.88,0.79,0.76,0.73,0.87,0.79,0.77
98,SemgHandMovementCh2,0.53,0.62,0.53,0.61,0.48,0.33,0.49,0.48,0.48,0.34,0.49,0.51
99,SemgHandSubjectCh2,0.84,0.92,0.85,0.92,0.72,0.44,0.78,0.79,0.71,0.43,0.73,0.8
100,ShakeGestureWiimoteZ,0.75,0.8,0.77,0.8,0.39,0.74,0.63,0.78,0.47,0.84,0.7,0.87
101,ShapeletSim,0.89,0.48,0.91,0.48,0.53,0.48,0.51,0.48,0.62,0.52,0.64,0.52
