dataset_name,1NN-DTW,FS,LS,RDST,RSAST
PigAirwayPressure,,,,0.5350961538461538,0.2985576923076923
PigArtPressure,,,,0.8024038461538462,0.6072115384615385
PigCVP,,,,0.7033653846153847,0.6105769230769231
Plane,1.0,0.9742858,0.9942857142999999,1.0,1.0
PowerCons,,,,0.9833333333333332,0.8661111111111112
ProximalPhalanxOutlineAgeGroup,0.804878049,0.7828179000000001,0.8185365854000001,0.8829268292682928,0.8331707317073171
ProximalPhalanxOutlineCorrect,0.783505155,0.7824391,0.8051546392000001,0.884192439862543,0.8556701030927835
ProximalPhalanxTW,0.76097561,0.7160974999999999,0.7878048781000001,0.8268292682926829,0.8126829268292683
RefrigerationDevices,0.464,0.5368,0.6282666667,0.7767999999999999,0.6232
Rock,,,,0.624,0.762
ScreenType,0.397333333,0.3799999,0.4426666665,0.6557333333333333,0.4498666666666667
SemgHandGenderCh2,,,,0.9323333333333335,0.8961666666666666
SemgHandMovementCh2,,,,0.7157777777777777,0.616
SemgHandSubjectCh2,,,,0.8879999999999999,0.920888888888889
ShakeGestureWiimoteZ,,,,0.96,0.796
ShapeletSim,0.65,1.0,0.9338888887,0.9988888888888889,0.47777777777777775
ShapesAll,0.768333333,0.5933332,0.7624999999,0.942,0.7413333333333333
SmallKitchenAppliances,0.642666667,0.333333,0.6584000000000001,0.8346666666666668,0.7322666666666666
SmoothSubspace,,,,0.9986666666666666,0.8620000000000001
SonyAIBORobotSurface1,0.725457571,0.9044925000000001,0.8986688851,0.8935108153078202,0.9524126455906823
SonyAIBORobotSurface2,0.831059811,0.8588668,0.9094438616000001,0.9254984260230849,0.9057712486883526
StarLightCurves,0.906629432,0.9110854999999999,0.9420349685,0.9799174356483731,0.9606483729966003
Strawberry,0.940540541,0.9140541000000001,0.9248648649,0.9856756756756756,0.9475675675675677
SwedishLeaf,0.792,0.7641600000000001,0.89984,0.96784,0.87408
Symbols,0.949748744,0.9131658999999999,0.9133668342,0.9414070351758793,0.7838190954773869
SyntheticControl,0.993333333,0.9203334,0.9940000002,0.9926666666666666,0.9573333333333334
ToeSegmentation1,0.771929825,0.9188599,0.9359649120999999,0.9421052631578947,0.9416666666666667
ToeSegmentation2,0.838461538,0.8453847,0.9238461537999999,0.9684615384615384,0.9307692307692308
Trace,1.0,1.0,0.998,1.0,0.999
TwoLeadECG,0.905179982,0.9468833,0.9859525899999999,0.99657594381036,0.9812115891132572
TwoPatterns,1.0,0.6924499999999999,0.9942250000000001,1.0,0.991775
UMD,,,,1.0,0.9125
UWaveGestureLibraryAll,0.891680625,0.6316864000000001,0.9064209939,0.9791457286432161,0.9698213288665549
UWaveGestureLibraryX,0.727526521,0.6580683,0.803210497,0.8515354550530431,0.6869905080960358
UWaveGestureLibraryY,0.63400335,0.7002512000000001,0.7167225017,0.7782244556113903,0.5572585147962033
UWaveGestureLibraryZ,0.658291457,0.5809046,0.7335845896,0.7770240089335567,0.6092964824120604
Wafer,0.979883193,0.9767682000000001,0.9960253082000001,1.0,1.0
Wine,0.574074074,0.7888888,0.5296296297,0.9814814814814816,0.9092592592592592
WordSynonyms,0.648902821,0.46974920000000003,0.5714733543,0.7567398119122257,0.6807210031347962
Worms,0.584415584,0.61039,0.6311688308000001,0.687012987012987,0.6272727272727272
WormsTwoClass,0.623376623,0.7000003,0.7428571425999999,0.7051948051948053,0.7012987012987013
Yoga,0.836666667,0.7191335000000001,0.8274999998999999,0.9244999999999999,0.8428666666666667
