,accuracy,time_fit,time_test,dataset_name,hyperparameter,classifier_name
0,0.9828571428571429,8.992363929748535,4.449218273162842,Fish,num_kernels=10_000,Rocket
1,0.9942857142857143,9.842247486114502,8.395435333251953,Fish,convst: n_shapelets=10_000,RDST
2,0.9828571428571429,8.961215734481812,4.43154501914978,Fish,num_kernels=10_000,Rocket
3,0.9942857142857143,9.919218301773071,8.451976776123047,Fish,convst: n_shapelets=10_000,RDST
4,0.9828571428571429,9.008988857269287,4.460710287094116,Fish,num_kernels=10_000,Rocket
5,0.9942857142857143,9.92790937423706,8.448896646499634,Fish,convst: n_shapelets=10_000,RDST
6,0.9828571428571429,9.008747816085815,4.464290618896484,Fish,num_kernels=10_000,Rocket
7,0.9942857142857143,9.922670364379883,8.457002639770508,Fish,convst: n_shapelets=10_000,RDST
8,0.9828571428571429,9.038363933563232,4.47257137298584,Fish,num_kernels=10_000,Rocket
9,0.9942857142857143,9.95266318321228,8.484381437301636,Fish,convst: n_shapelets=10_000,RDST
