,accuracy,time_fit,time_test,dataset_name,hyperparameter,classifier_name
0,0.3923076923076923,9.544303178787231,2.676750898361206,GestureMidAirD3,num_kernels=10_000,Rocket
1,0.4307692307692308,5.791009902954102,3.8863396644592285,GestureMidAirD3,convst: n_shapelets=10_000,RDST
2,0.4153846153846154,8.512588739395142,2.665652275085449,GestureMidAirD3,num_kernels=10_000,Rocket
3,0.4076923076923077,5.731213569641113,2.9033236503601074,GestureMidAirD3,convst: n_shapelets=10_000,RDST
4,0.4076923076923077,8.478246212005615,2.662755250930786,GestureMidAirD3,num_kernels=10_000,Rocket
5,0.3923076923076923,5.749760627746582,2.9128963947296143,GestureMidAirD3,convst: n_shapelets=10_000,RDST
6,0.4076923076923077,8.520042181015015,2.682372808456421,GestureMidAirD3,num_kernels=10_000,Rocket
7,0.4076923076923077,5.7772440910339355,2.9264934062957764,GestureMidAirD3,convst: n_shapelets=10_000,RDST
8,0.4153846153846154,8.51485013961792,2.679227590560913,GestureMidAirD3,num_kernels=10_000,Rocket
9,0.4230769230769231,5.767973899841309,2.9215478897094727,GestureMidAirD3,convst: n_shapelets=10_000,RDST
