,accuracy,time_fit,time_test,dataset_name,hyperparameter,classifier_name
0,0.9707216494845361,55.382585763931274,133.6337113380432,MixedShapesRegularTrain,num_kernels=10_000,Rocket
1,0.9806185567010309,66.28333330154419,271.347172498703,MixedShapesRegularTrain,convst: n_shapelets=10_000,RDST
2,0.971958762886598,55.131916522979736,133.08167171478271,MixedShapesRegularTrain,num_kernels=10_000,Rocket
3,0.9818556701030928,66.01667976379395,271.7313208580017,MixedShapesRegularTrain,convst: n_shapelets=10_000,RDST
4,0.9703092783505155,55.39340019226074,133.63348817825317,MixedShapesRegularTrain,num_kernels=10_000,Rocket
5,0.9822680412371134,66.44013237953186,272.1203911304474,MixedShapesRegularTrain,convst: n_shapelets=10_000,RDST
6,0.9711340206185567,55.48915886878967,133.93067288398743,MixedShapesRegularTrain,num_kernels=10_000,Rocket
7,0.9810309278350515,65.90092062950134,269.75492334365845,MixedShapesRegularTrain,convst: n_shapelets=10_000,RDST
8,0.9694845360824742,55.383312702178955,133.75659823417664,MixedShapesRegularTrain,num_kernels=10_000,Rocket
9,0.9806185567010309,66.32871580123901,271.0184442996979,MixedShapesRegularTrain,convst: n_shapelets=10_000,RDST
