,accuracy,time_fit,time_test,dataset_name,hyperparameter,classifier_name
0,0.9861111111111112,1.3406765460968018,1.6599323749542236,UMD,num_kernels=10_000,Rocket
1,1.0,0.5595345497131348,1.6407837867736816,UMD,convst: n_shapelets=10_000,RDST
2,0.9861111111111112,0.7314093112945557,1.2931392192840576,UMD,num_kernels=10_000,Rocket
3,1.0,0.5600991249084473,1.6329152584075928,UMD,convst: n_shapelets=10_000,RDST
4,0.9861111111111112,0.7372162342071533,1.3035166263580322,UMD,num_kernels=10_000,Rocket
5,1.0,0.5595667362213135,1.6513988971710205,UMD,convst: n_shapelets=10_000,RDST
6,0.9861111111111112,0.7399492263793945,1.3067374229431152,UMD,num_kernels=10_000,Rocket
7,1.0,0.553570032119751,1.619621753692627,UMD,convst: n_shapelets=10_000,RDST
8,0.9861111111111112,0.7372186183929443,1.313429355621338,UMD,num_kernels=10_000,Rocket
9,1.0,0.5625522136688232,1.614769458770752,UMD,convst: n_shapelets=10_000,RDST
10,0.9861111111111112,0.7344815731048584,1.302778720855713,UMD,num_kernels=10_000,Rocket
11,1.0,0.5595428943634033,1.6485302448272705,UMD,convst: n_shapelets=10_000,RDST
12,0.9861111111111112,0.7452294826507568,1.2995274066925049,UMD,num_kernels=10_000,Rocket
13,1.0,0.5544147491455078,1.642099380493164,UMD,convst: n_shapelets=10_000,RDST
14,0.9861111111111112,0.7366561889648438,1.3051722049713135,UMD,num_kernels=10_000,Rocket
15,1.0,0.5557918548583984,1.6222877502441406,UMD,convst: n_shapelets=10_000,RDST
16,0.9861111111111112,0.7335150241851807,1.2991600036621094,UMD,num_kernels=10_000,Rocket
17,1.0,0.5528652667999268,1.6240689754486084,UMD,convst: n_shapelets=10_000,RDST
18,0.9861111111111112,0.7373647689819336,1.3079235553741455,UMD,num_kernels=10_000,Rocket
19,1.0,0.6181373596191406,1.6913182735443115,UMD,convst: n_shapelets=10_000,RDST
