,accuracy,time_fit,time_test,dataset_name,hyperparameter,classifier_name
0,0.990506329113924,2.4784505367279053,2.7958884239196777,GunPointAgeSpan,num_kernels=10_000,Rocket
1,0.9936708860759493,2.4345526695251465,4.799093008041382,GunPointAgeSpan,convst: n_shapelets=10_000,RDST
2,0.9936708860759493,2.4612741470336914,2.7798004150390625,GunPointAgeSpan,num_kernels=10_000,Rocket
3,0.9968354430379747,2.4550750255584717,4.821789503097534,GunPointAgeSpan,convst: n_shapelets=10_000,RDST
4,0.990506329113924,2.467848062515259,2.7961301803588867,GunPointAgeSpan,num_kernels=10_000,Rocket
5,0.9936708860759493,2.4393837451934814,4.78831148147583,GunPointAgeSpan,convst: n_shapelets=10_000,RDST
6,0.9873417721518988,2.4599812030792236,2.7751152515411377,GunPointAgeSpan,num_kernels=10_000,Rocket
7,0.9936708860759493,2.4384429454803467,4.80293607711792,GunPointAgeSpan,convst: n_shapelets=10_000,RDST
8,0.990506329113924,2.4751412868499756,2.790357828140259,GunPointAgeSpan,num_kernels=10_000,Rocket
9,0.990506329113924,2.437624216079712,4.788460969924927,GunPointAgeSpan,convst: n_shapelets=10_000,RDST
10,0.990506329113924,2.4672927856445312,2.7810909748077393,GunPointAgeSpan,num_kernels=10_000,Rocket
11,0.9936708860759493,2.4641499519348145,4.845349311828613,GunPointAgeSpan,convst: n_shapelets=10_000,RDST
12,0.990506329113924,2.4823129177093506,2.805877685546875,GunPointAgeSpan,num_kernels=10_000,Rocket
13,0.9968354430379747,2.4579849243164062,4.8383941650390625,GunPointAgeSpan,convst: n_shapelets=10_000,RDST
14,0.990506329113924,2.478262424468994,2.8035826683044434,GunPointAgeSpan,num_kernels=10_000,Rocket
15,0.9936708860759493,2.4528839588165283,4.801222801208496,GunPointAgeSpan,convst: n_shapelets=10_000,RDST
16,0.990506329113924,2.4663736820220947,2.7753958702087402,GunPointAgeSpan,num_kernels=10_000,Rocket
17,0.990506329113924,2.4472012519836426,4.810839891433716,GunPointAgeSpan,convst: n_shapelets=10_000,RDST
18,0.990506329113924,2.471675395965576,2.787853240966797,GunPointAgeSpan,num_kernels=10_000,Rocket
19,0.990506329113924,2.449925184249878,4.814577102661133,GunPointAgeSpan,convst: n_shapelets=10_000,RDST
