,accuracy,time_fit,time_test,dataset_name,hyperparameter,classifier_name
0,0.9166666666666666,3.87414288520813,1.934990406036377,Car,num_kernels=10_000,Rocket
1,0.9333333333333333,4.525922775268555,3.7376248836517334,Car,convst: n_shapelets=10_000,RDST
2,0.9166666666666666,3.859069585800171,1.9248571395874023,Car,num_kernels=10_000,Rocket
3,0.9333333333333333,4.506184339523315,3.723194122314453,Car,convst: n_shapelets=10_000,RDST
4,0.9166666666666666,3.8638052940368652,1.9283180236816406,Car,num_kernels=10_000,Rocket
5,0.9333333333333333,4.511663913726807,3.725497007369995,Car,convst: n_shapelets=10_000,RDST
6,0.9166666666666666,3.880298614501953,1.9339418411254883,Car,num_kernels=10_000,Rocket
7,0.9333333333333333,4.555660247802734,3.7345268726348877,Car,convst: n_shapelets=10_000,RDST
8,0.9166666666666666,3.8735718727111816,1.9303812980651855,Car,num_kernels=10_000,Rocket
9,0.9333333333333333,4.514302492141724,3.727538585662842,Car,convst: n_shapelets=10_000,RDST
10,0.9166666666666666,3.88398814201355,1.9396312236785889,Car,num_kernels=10_000,Rocket
11,0.9333333333333333,4.559095621109009,3.73209810256958,Car,convst: n_shapelets=10_000,RDST
12,0.9333333333333333,3.8815550804138184,1.9367039203643799,Car,num_kernels=10_000,Rocket
13,0.9333333333333333,4.520398378372192,3.730402946472168,Car,convst: n_shapelets=10_000,RDST
14,0.9166666666666666,3.8732492923736572,1.9326045513153076,Car,num_kernels=10_000,Rocket
15,0.9333333333333333,4.503639459609985,3.724562168121338,Car,convst: n_shapelets=10_000,RDST
16,0.9333333333333333,3.8857131004333496,1.9395151138305664,Car,num_kernels=10_000,Rocket
17,0.9333333333333333,4.516751050949097,3.7048680782318115,Car,convst: n_shapelets=10_000,RDST
18,0.9333333333333333,3.8762333393096924,1.9422857761383057,Car,num_kernels=10_000,Rocket
19,0.9333333333333333,4.500170946121216,3.6931216716766357,Car,convst: n_shapelets=10_000,RDST
