,accuracy,time_fit,time_test,dataset_name,hyperparameter,classifier_name
0,0.8038674033149171,48.79047679901123,25.324604034423828,EOGHorizontalSignal,num_kernels=10_000,Rocket
1,0.7762430939226519,57.377073764801025,50.74944567680359,EOGHorizontalSignal,convst: n_shapelets=10_000,RDST
2,0.8121546961325967,51.044219732284546,24.408708333969116,EOGHorizontalSignal,num_kernels=10_000,Rocket
3,0.787292817679558,57.23749804496765,50.88402557373047,EOGHorizontalSignal,convst: n_shapelets=10_000,RDST
4,0.8093922651933702,49.05898571014404,24.40402054786682,EOGHorizontalSignal,num_kernels=10_000,Rocket
5,0.7817679558011049,57.62400960922241,51.20171284675598,EOGHorizontalSignal,convst: n_shapelets=10_000,RDST
6,0.8093922651933702,49.03149080276489,24.411524534225464,EOGHorizontalSignal,num_kernels=10_000,Rocket
7,0.787292817679558,58.75147724151611,52.065837383270264,EOGHorizontalSignal,convst: n_shapelets=10_000,RDST
8,0.8176795580110497,48.810033559799194,24.3452730178833,EOGHorizontalSignal,num_kernels=10_000,Rocket
9,0.7845303867403315,57.60386562347412,50.898069858551025,EOGHorizontalSignal,convst: n_shapelets=10_000,RDST
10,0.8011049723756906,48.96971416473389,24.412800550460815,EOGHorizontalSignal,num_kernels=10_000,Rocket
11,0.7928176795580111,57.66069054603577,52.225170612335205,EOGHorizontalSignal,convst: n_shapelets=10_000,RDST
12,0.8232044198895028,50.02473735809326,24.459752798080444,EOGHorizontalSignal,num_kernels=10_000,Rocket
13,0.7762430939226519,57.65345215797424,51.22110652923584,EOGHorizontalSignal,convst: n_shapelets=10_000,RDST
14,0.8204419889502762,49.043299198150635,25.389612436294556,EOGHorizontalSignal,num_kernels=10_000,Rocket
15,0.7817679558011049,57.367494344711304,50.92860674858093,EOGHorizontalSignal,convst: n_shapelets=10_000,RDST
16,0.8093922651933702,50.2006733417511,25.44232988357544,EOGHorizontalSignal,num_kernels=10_000,Rocket
17,0.7734806629834254,57.41679382324219,51.02457785606384,EOGHorizontalSignal,convst: n_shapelets=10_000,RDST
18,0.8066298342541437,49.03351330757141,24.435908794403076,EOGHorizontalSignal,num_kernels=10_000,Rocket
19,0.7817679558011049,57.51147270202637,51.07310152053833,EOGHorizontalSignal,convst: n_shapelets=10_000,RDST
