,accuracy,time_fit,time_test,dataset_name,hyperparameter,classifier_name
0,0.928,29.333832025527954,14.592975616455078,LargeKitchenAppliances,num_kernels=10_000,Rocket
1,0.9093333333333333,27.23796319961548,23.25862431526184,LargeKitchenAppliances,convst: n_shapelets=10_000,RDST
2,0.9306666666666666,29.37760066986084,14.605179786682129,LargeKitchenAppliances,num_kernels=10_000,Rocket
3,0.904,26.82713794708252,22.86645221710205,LargeKitchenAppliances,convst: n_shapelets=10_000,RDST
4,0.9333333333333333,29.273651599884033,14.568435907363892,LargeKitchenAppliances,num_kernels=10_000,Rocket
5,0.912,26.976183891296387,23.003627061843872,LargeKitchenAppliances,convst: n_shapelets=10_000,RDST
6,0.936,29.37076497077942,14.61983847618103,LargeKitchenAppliances,num_kernels=10_000,Rocket
7,0.9093333333333333,26.77983856201172,22.811370849609375,LargeKitchenAppliances,convst: n_shapelets=10_000,RDST
8,0.9333333333333333,29.48078417778015,14.65561294555664,LargeKitchenAppliances,num_kernels=10_000,Rocket
9,0.92,27.03025531768799,23.065374851226807,LargeKitchenAppliances,convst: n_shapelets=10_000,RDST
10,0.9306666666666666,29.351232290267944,14.580970287322998,LargeKitchenAppliances,num_kernels=10_000,Rocket
11,0.9146666666666666,26.980550050735474,23.0280339717865,LargeKitchenAppliances,convst: n_shapelets=10_000,RDST
12,0.936,29.395572185516357,14.619677543640137,LargeKitchenAppliances,num_kernels=10_000,Rocket
13,0.92,27.174370765686035,23.21105670928955,LargeKitchenAppliances,convst: n_shapelets=10_000,RDST
14,0.9333333333333333,29.44966959953308,14.645139217376709,LargeKitchenAppliances,num_kernels=10_000,Rocket
15,0.8986666666666666,26.80769968032837,22.877649784088135,LargeKitchenAppliances,convst: n_shapelets=10_000,RDST
16,0.9333333333333333,29.284168243408203,14.564374685287476,LargeKitchenAppliances,num_kernels=10_000,Rocket
17,0.9253333333333333,26.87889838218689,22.87830376625061,LargeKitchenAppliances,convst: n_shapelets=10_000,RDST
18,0.936,29.43725299835205,14.65136981010437,LargeKitchenAppliances,num_kernels=10_000,Rocket
19,0.9173333333333333,26.926085233688354,22.968809127807617,LargeKitchenAppliances,convst: n_shapelets=10_000,RDST
