,accuracy,time_fit,time_test,dataset_name,hyperparameter,classifier_name
0,0.9249466950959488,6.16279673576355,129.24981045722961,Mallat,num_kernels=10_000,Rocket
1,0.9458422174840085,7.661192417144775,268.6894428730011,Mallat,convst: n_shapelets=10_000,RDST
2,0.9253731343283582,6.204826593399048,130.36876845359802,Mallat,num_kernels=10_000,Rocket
3,0.9539445628997868,7.5506532192230225,261.24025893211365,Mallat,convst: n_shapelets=10_000,RDST
4,0.9304904051172708,6.236152648925781,129.89828300476074,Mallat,num_kernels=10_000,Rocket
5,0.9424307036247335,7.621349334716797,263.66679859161377,Mallat,convst: n_shapelets=10_000,RDST
6,0.9211087420042644,6.234761476516724,129.79203701019287,Mallat,num_kernels=10_000,Rocket
7,0.9368869936034115,7.626496076583862,262.6862599849701,Mallat,convst: n_shapelets=10_000,RDST
8,0.9245202558635395,6.239835977554321,130.0186779499054,Mallat,num_kernels=10_000,Rocket
9,0.9560767590618336,8.547131061553955,262.5822455883026,Mallat,convst: n_shapelets=10_000,RDST
10,0.926226012793177,6.183392763137817,130.32884645462036,Mallat,num_kernels=10_000,Rocket
11,0.947547974413646,7.6013405323028564,263.3141589164734,Mallat,convst: n_shapelets=10_000,RDST
12,0.9245202558635395,6.218673467636108,129.519686460495,Mallat,num_kernels=10_000,Rocket
13,0.9445628997867804,7.607780456542969,263.4289925098419,Mallat,convst: n_shapelets=10_000,RDST
14,0.9270788912579957,6.194859981536865,129.0282473564148,Mallat,num_kernels=10_000,Rocket
15,0.9449893390191898,7.6345672607421875,263.25802659988403,Mallat,convst: n_shapelets=10_000,RDST
16,0.9266524520255863,6.18520450592041,128.9853115081787,Mallat,num_kernels=10_000,Rocket
17,0.9458422174840085,7.571371078491211,262.148864030838,Mallat,convst: n_shapelets=10_000,RDST
18,0.9275053304904051,6.207446813583374,129.8175151348114,Mallat,num_kernels=10_000,Rocket
19,0.9560767590618336,7.546254396438599,262.65318870544434,Mallat,convst: n_shapelets=10_000,RDST
